t,N,Vx,Vy,Vz,Pxx,Pyy,Pzz,Pxy,Pxz,Pyz
1501054081.698292,0.1023461893200874,-2576.845214843750,2543.040039062500,304.8554382324219,7.994566814106818e-11,7.582228594982254e-11,7.429118431545589e-11,-8.978164349124351e-13,-1.013279087372365e-12,9.664115211208135e-13
1501054081.728292,0.09807488322257996,-2892.397949218750,1493.783203125000,1020.363525390625,7.283263575574850e-11,6.160391641252261e-11,6.326118795474400e-11,-3.367765268047496e-12,-3.346741937401698e-12,7.480250685358569e-13
1501054081.758292,0.1073964163661003,-1208.425781250000,1035.130981445312,532.0660400390625,6.672866426082891e-11,6.521848339158254e-11,6.616625997102332e-11,-3.612870907391402e-13,-3.459957147178283e-12,-1.341924211724702e-13
1501054081.788292,0.1066640466451645,-1568.836669921875,2096.689941406250,231.3568420410156,6.502472865710374e-11,7.376720068119624e-11,6.865135543376866e-11,-2.379577437872094e-12,-9.083075546041652e-13,-1.736482919262317e-12
1501054081.818292,0.1049682870507240,-1030.012817382812,2190.257568359375,635.9559326171875,7.327592005390571e-11,6.353054887719978e-11,6.684505032827914e-11,-1.770834672475130e-12,-2.701779772129598e-12,9.306849995532884e-13
1501054081.848292,0.1034294739365578,-2151.382080078125,989.2958374023438,-222.8572692871094,7.354822306737674e-11,6.870247426515874e-11,6.841657101963605e-11,-4.528624437255546e-12,-8.712927298051842e-13,1.757252329759318e-12
1501054081.878292,0.1035172045230865,-1730.360473632812,1497.183593750000,-110.1438293457031,7.266494350677277e-11,6.701935534314529e-11,6.649059081098585e-11,-5.899628008343427e-12,-1.614463012063194e-12,-2.278554515205977e-12
1501054081.908292,0.1172176674008369,-1428.322143554688,570.9562988281250,493.1619567871094,7.562003107031146e-11,7.269556484557071e-11,6.875098407244096e-11,-4.482949601813946e-12,-2.625339399001114e-12,2.304178115669631e-12
1501054081.938292,0.1193283200263977,-1582.476318359375,-258.6961975097656,519.8554077148438,8.191920058964186e-11,7.136674584629077e-11,7.381181083010446e-11,-3.048087606968841e-12,-2.358031738619593e-12,-7.280204000412183e-13
1501054081.968292,0.1039129346609116,-2882.678222656250,803.4297485351562,831.0296020507812,7.618650155194473e-11,6.826401943715865e-11,6.959759157876277e-11,1.906325303776407e-13,-2.951716345303557e-12,-9.665437937858568e-13
1501054081.998292,0.1109170764684677,-2513.256591796875,1467.795166015625,1284.582763671875,7.809500268685099e-11,7.097951393308932e-11,7.032319865318826e-11,8.565744007106232e-14,2.898222298004099e-13,7.497306269733939e-13
1501054082.028307,0.09986582398414612,-2678.762939453125,749.0489501953125,-182.7127532958984,7.130197127169779e-11,6.549450565218606e-11,6.684845732518596e-11,-2.575676217447809e-12,-4.729029667860374e-13,-9.753337460588485e-13
1501054082.058307,0.1094770655035973,-2417.142578125000,264.9092102050781,818.1163330078125,7.503973137312769e-11,7.103373445005445e-11,7.321017403416619e-11,-2.545126435993250e-12,-1.104273898884511e-12,2.117924433921170e-13
1501054082.088307,0.1049652844667435,-2072.167968750000,-154.7794036865234,1312.846435546875,7.303582044704271e-11,6.879784936186795e-11,7.152252401443349e-11,-1.842177018568369e-12,-2.199060161398037e-12,-3.989909395712629e-14
1501054082.118307,0.1095141395926476,-1778.835205078125,1443.917358398438,1093.528198242188,7.807988283703438e-11,7.068133578425062e-11,6.786969597438741e-11,-1.960616564933293e-12,-1.203471892453900e-12,-4.611817113094052e-13
1501054082.148307,0.1093455031514168,-3194.214355468750,-386.9450073242188,152.4569854736328,8.121788658277396e-11,7.111206762333566e-11,7.057142370481273e-11,-2.031786631301324e-12,-1.374683353261297e-12,-3.546660307020971e-13
1501054082.178307,0.1046120002865791,-2989.916992187500,1520.931640625000,-564.3749389648438,7.841929883234400e-11,6.646005273891475e-11,7.012256053595678e-11,-2.632082702833105e-12,-2.786913711957939e-12,2.427531916801562e-12
